Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,ATL,2021-04-01,@,PHI,L 2-3 (10),40,37,2,7,4,2,0,1,2,0,0,2,10,.189,.250,.324,.574,12,0,1,0,0,0
2,HOU,2021-04-01,@,OAK,W 8-1,43,33,8,9,4,3,0,2,7,0,0,6,5,.273,.395,.545,.941,18,1,2,0,2,0
3,KCR,2021-04-01,,TEX,W 14-10,51,38,14,15,12,0,0,3,13,0,0,8,8,.395,.500,.632,1.132,24,0,2,0,2,0
4,TEX,2021-04-01,@,KCR,L 10-14,50,40,10,15,12,3,0,0,9,1,0,9,16,.375,.500,.450,.950,18,0,1,0,0,0
5,SFG,2021-04-01,@,SEA,L 7-8 (10),43,39,7,10,3,3,0,4,6,0,0,4,7,.256,.326,.641,.967,25,1,0,0,0,1
6,MIL,2021-04-01,,MIN,W 6-5 (10),44,40,6,11,10,1,0,0,6,0,0,2,9,.275,.341,.300,.641,12,0,2,0,0,0
7,ARI,2021-04-01,@,SDP,L 7-8,41,40,7,12,5,3,0,4,7,0,0,1,12,.300,.317,.675,.992,27,0,0,0,0,0
8,LAD,2021-04-01,@,COL,L 5-8,46,36,5,15,11,3,1,0,5,0,0,8,6,.417,.522,.556,1.077,20,3,1,0,1,0
9,LAA,2021-04-01,,CHW,W 4-3,34,30,4,6,5,0,0,1,4,0,0,4,10,.200,.294,.300,.594,9,1,0,0,0,0
10,PIT,2021-04-01,@,CHC,W 5-3,47,35,5,9,6,2,0,1,5,3,1,11,10,.257,.447,.400,.847,14,0,1,0,0,0
11,CHW,2021-04-01,@,LAA,L 3-4,35,33,3,7,4,2,0,1,2,1,1,2,10,.212,.257,.364,.621,12,0,0,0,0,0
12,PHI,2021-04-01,,ATL,W 3-2 (10),43,36,3,9,7,2,0,0,3,1,0,4,13,.250,.333,.306,.639,11,0,1,1,1,1
13,CHC,2021-04-01,,PIT,L 3-5,34,26,3,2,0,2,0,0,3,1,0,4,13,.077,.182,.154,.336,4,0,0,1,3,0
