Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,HOU,2022-04-07,@,LAA,W 3-1,38,35,3,8,2,4,0,2,3,1,0,3,10,.229,.289,.514,.804,18,0,0,0,0,1
2,ARI,2022-04-07,,SDP,W 4-2,34,26,4,3,2,0,0,1,3,0,0,7,6,.115,.324,.231,.554,6,1,1,0,0,0
3,ATL,2022-04-07,,CIN,L 3-6,36,31,3,4,3,0,0,1,2,0,0,5,13,.129,.250,.226,.476,7,0,0,0,0,0
4,LAA,2022-04-07,,HOU,L 1-3,31,29,1,4,3,0,1,0,1,0,0,1,7,.138,.194,.207,.400,6,3,1,0,0,0
5,CIN,2022-04-07,@,ATL,W 6-3,38,35,6,10,9,0,0,1,6,0,0,1,13,.286,.316,.371,.687,13,1,1,0,1,0
6,KCR,2022-04-07,,CLE,W 3-1,31,28,3,4,2,2,0,0,3,0,1,2,6,.143,.200,.214,.414,6,0,0,1,0,0
7,MIL,2022-04-07,@,CHC,L 4-5,40,33,4,10,6,4,0,0,4,1,0,4,9,.303,.375,.424,.799,14,2,1,0,2,0
8,SDP,2022-04-07,@,ARI,L 2-4,36,29,2,4,3,1,0,0,2,1,0,7,5,.138,.306,.172,.478,5,2,0,0,0,0
9,STL,2022-04-07,,PIT,W 9-0,41,31,9,8,3,2,0,3,9,1,0,7,5,.258,.390,.613,1.003,19,1,1,0,2,0
10,PIT,2022-04-07,@,STL,L 0-9,32,30,0,6,6,0,0,0,0,0,1,2,9,.200,.250,.200,.450,6,2,0,0,0,0
11,NYM,2022-04-07,@,WSN,W 5-1,42,35,5,12,10,2,0,0,5,0,1,4,9,.343,.452,.400,.852,14,2,3,0,0,0
12,WSN,2022-04-07,,NYM,L 1-5,35,32,1,6,4,1,0,1,1,0,0,2,10,.188,.235,.313,.548,10,1,0,1,0,0
13,CLE,2022-04-07,@,KCR,L 1-3,37,33,1,7,6,1,0,0,1,1,0,4,5,.212,.297,.242,.540,8,1,0,0,0,0
14,CHC,2022-04-07,,MIL,W 5-4,35,29,5,8,4,3,0,1,5,0,1,4,7,.276,.371,.483,.854,14,1,1,0,1,0
15,HOU,2022-04-08,@,LAA,W 13-6,43,40,13,14,5,3,0,6,13,1,0,3,8,.350,.395,.875,1.270,35,1,0,0,0,0
16,SFG,2022-04-08,,MIA,W 6-5 (10),40,33,6,6,2,1,0,3,5,1,1,7,7,.182,.325,.485,.810,16,0,0,0,0,1
17,LAD,2022-04-08,@,COL,W 5-3,41,36,5,8,6,2,0,0,4,0,0,4,11,.222,.317,.278,.595,10,0,1,0,0,0
18,WSN,2022-04-08,,NYM,L 3-7,33,30,3,5,4,0,0,1,3,0,0,1,9,.167,.212,.267,.479,8,1,1,0,1,0
19,CHW,2022-04-08,@,DET,L 4-5,37,34,4,8,4,3,0,1,4,0,0,3,3,.235,.297,.412,.709,14,1,0,0,0,0
20,NYM,2022-04-08,@,WSN,W 7-3,45,37,7,13,8,3,1,1,7,0,0,6,10,.351,.455,.568,1.022,21,0,1,1,0,0
21,BAL,2022-04-08,@,TBR,L 1-2,37,33,1,7,4,2,0,1,1,0,0,3,14,.212,.297,.364,.661,12,1,1,0,0,0
22,PHI,2022-04-08,,OAK,W 9-5,39,33,9,11,6,4,0,1,9,0,0,5,8,.333,.410,.545,.956,18,0,0,0,1,0
23,SEA,2022-04-08,@,MIN,W 2-1,39,31,2,5,4,0,0,1,2,0,0,7,11,.161,.333,.258,.591,8,1,1,0,0,0
24,MIN,2022-04-08,,SEA,L 1-2,34,29,1,4,3,0,0,1,1,0,0,4,6,.138,.265,.241,.506,7,2,1,0,0,0
25,COL,2022-04-08,,LAD,L 3-5,38,35,3,7,3,4,0,0,3,0,0,3,12,.200,.263,.314,.577,11,0,0,0,0,0
26,ARI,2022-04-08,,SDP,L 0-3,30,29,0,2,2,0,0,0,0,0,0,1,8,.069,.100,.069,.169,2,0,0,0,0,0
27,TEX,2022-04-08,@,TOR,L 8-10,41,35,8,8,4,1,0,3,7,0,0,5,2,.229,.341,.514,.856,18,0,1,0,0,0
28,SDP,2022-04-08,@,ARI,W 3-0,38,34,3,11,8,2,0,1,2,0,1,3,10,.324,.378,.471,.849,16,1,0,1,0,1
29,LAA,2022-04-08,,HOU,L 6-13,41,40,6,13,10,3,0,0,5,0,0,0,7,.325,.325,.400,.725,16,0,0,1,0,0
30,TOR,2022-04-08,,TEX,W 10-8,37,31,10,9,5,2,0,2,10,0,0,5,8,.290,.378,.548,.927,17,1,0,0,1,0
31,OAK,2022-04-08,@,PHI,L 5-9,35,34,5,6,3,1,0,2,4,0,0,0,11,.176,.200,.382,.582,13,0,1,0,0,0
32,ATL,2022-04-08,,CIN,W 7-6,39,31,7,8,6,2,0,0,7,0,0,7,8,.258,.385,.323,.707,10,1,0,0,1,0
33,BOS,2022-04-08,@,NYY,L 5-6 (11),43,39,5,9,6,2,0,1,5,0,0,3,11,.231,.302,.359,.661,14,3,1,0,0,1
34,NYY,2022-04-08,,BOS,W 6-5 (11),46,39,6,9,5,1,0,3,6,0,0,4,15,.231,.326,.487,.813,19,0,2,0,1,2
35,TBR,2022-04-08,,BAL,W 2-1,35,30,2,8,8,0,0,0,2,0,0,3,9,.267,.314,.267,.581,8,0,0,0,2,0
36,DET,2022-04-08,,CHW,W 5-4,39,33,5,8,5,1,1,1,5,0,0,4,11,.242,.359,.424,.783,14,0,2,0,0,0
37,MIA,2022-04-08,@,SFG,L 5-6 (10),42,39,5,9,7,0,0,2,5,0,0,3,6,.231,.286,.385,.670,15,1,0,0,0,0
38,CIN,2022-04-08,@,ATL,L 6-7,37,32,6,6,5,1,0,0,6,0,0,3,7,.188,.270,.219,.489,7,0,1,0,1,0
39,HOU,2022-04-09,@,LAA,L 0-2,32,29,0,2,2,0,0,0,0,1,0,2,5,.069,.156,.069,.225,2,1,1,0,0,0
40,MIA,2022-04-09,@,SFG,W 2-1,35,32,2,5,3,2,0,0,1,0,0,3,14,.156,.229,.219,.447,7,1,0,0,0,0
41,LAA,2022-04-09,,HOU,W 2-0,33,27,2,6,3,1,0,2,2,0,2,5,11,.222,.344,.481,.825,13,0,0,1,0,0
42,ARI,2022-04-09,,SDP,L 2-5,33,31,2,5,2,2,0,1,2,0,0,2,10,.161,.212,.323,.535,10,1,0,0,0,0
43,OAK,2022-04-09,@,PHI,L 2-4,31,30,2,5,4,1,0,0,2,0,0,1,12,.167,.194,.200,.394,6,2,0,0,0,0
44,NYY,2022-04-09,,BOS,W 4-2,30,27,4,4,2,0,0,2,4,0,0,3,5,.148,.233,.370,.604,10,0,0,0,0,0
45,BAL,2022-04-09,@,TBR,L 3-5,36,34,3,8,5,2,0,1,3,1,0,1,10,.235,.278,.382,.660,13,1,1,0,0,0
46,CLE,2022-04-09,@,KCR,L 0-1 (10),35,33,0,5,4,1,0,0,0,0,0,1,10,.152,.200,.182,.382,6,2,1,0,0,0
47,CIN,2022-04-09,@,ATL,L 1-2,32,29,1,3,3,0,0,0,1,1,0,2,9,.103,.161,.103,.265,3,1,0,0,0,0
48,MIN,2022-04-09,,SEA,L 3-4,34,31,3,4,2,0,0,2,3,0,0,2,14,.129,.206,.323,.528,10,0,1,0,0,0
49,TEX,2022-04-09,@,TOR,L 3-4,36,35,3,9,8,1,0,0,3,0,0,1,6,.257,.278,.286,.563,10,1,0,0,0,0
50,BOS,2022-04-09,@,NYY,L 2-4,37,33,2,5,2,2,0,1,2,0,0,4,12,.152,.243,.303,.546,10,0,0,0,0,0
51,MIL,2022-04-09,@,CHC,L 0-9,33,28,0,4,4,0,0,0,0,0,0,3,10,.143,.273,.143,.416,4,3,2,0,0,0
52,KCR,2022-04-09,,CLE,W 1-0 (10),34,32,1,6,6,0,0,0,1,1,0,2,3,.188,.235,.188,.423,6,1,0,0,0,0
53,NYM,2022-04-09,@,WSN,W 5-0,41,35,5,9,6,2,0,1,4,2,0,5,8,.257,.366,.400,.766,14,0,1,0,0,0
54,SDP,2022-04-09,@,ARI,W 5-2,39,34,5,10,8,2,0,0,5,1,1,4,4,.294,.359,.353,.712,12,1,0,0,1,0
55,DET,2022-04-09,,CHW,L 2-5,36,31,2,7,6,1,0,0,2,0,0,5,12,.226,.333,.258,.591,8,3,0,0,0,0
56,SEA,2022-04-09,@,MIN,W 4-3,39,35,4,9,5,3,0,1,4,1,0,4,7,.257,.333,.429,.762,15,1,0,0,0,0
