Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,LAA,2023-03-30,@,OAK,L 1-2,35,31,1,5,5,0,0,0,1,1,0,4,8,.161,.257,.161,.418,5,1,0,0,0,1
2,TEX,2023-03-30,,PHI,W 11-7,38,32,11,10,7,1,0,2,10,1,0,6,8,.313,.421,.531,.952,17,1,0,0,0,0
3,TOR,2023-03-30,@,STL,W 10-9,49,43,10,19,16,3,0,0,10,0,1,3,11,.442,.469,.512,.981,22,0,1,0,2,0
4,SEA,2023-03-30,,CLE,W 3-0,32,30,3,7,4,2,0,1,3,1,0,1,5,.233,.281,.400,.681,12,1,1,0,0,0
5,MIN,2023-03-30,@,KCR,W 2-0,41,37,2,11,10,0,1,0,2,0,0,4,9,.297,.366,.351,.717,13,1,0,0,0,0
6,DET,2023-03-30,@,TBR,L 0-4,35,32,0,6,4,2,0,0,0,0,0,3,6,.188,.257,.250,.507,8,1,0,0,0,0
7,STL,2023-03-30,,TOR,L 9-10,47,41,9,15,11,2,0,2,9,1,0,6,8,.366,.447,.561,1.008,23,1,0,0,0,1
8,ARI,2023-03-30,@,LAD,L 2-8,30,28,2,4,3,1,0,0,2,0,0,0,8,.143,.167,.179,.345,5,2,1,0,1,0
9,CHW,2023-03-30,@,HOU,W 3-2,41,38,3,11,8,2,0,1,3,0,0,1,9,.289,.325,.421,.746,16,0,1,0,0,0
10,WSN,2023-03-30,,ATL,L 2-7,38,33,2,8,7,1,0,0,2,0,0,4,5,.242,.316,.273,.589,9,1,0,0,1,0
11,CHC,2023-03-30,,MIL,W 4-0,35,30,4,6,6,0,0,0,3,0,0,4,5,.200,.314,.200,.514,6,1,1,0,0,0
12,TBR,2023-03-30,,DET,W 4-0,32,29,4,6,4,0,0,2,4,0,0,3,7,.207,.281,.414,.695,12,1,0,0,0,0
13,HOU,2023-03-30,,CHW,L 2-3,33,30,2,4,3,0,0,1,1,1,0,2,13,.133,.212,.233,.445,7,1,1,0,0,0
14,PHI,2023-03-30,@,TEX,L 7-11,41,39,7,12,4,4,3,1,6,1,0,2,13,.308,.341,.641,.982,25,0,0,0,0,1
15,PIT,2023-03-30,@,CIN,W 5-4,41,30,5,6,4,1,0,1,4,2,0,9,11,.200,.375,.333,.708,10,1,0,1,1,0
16,LAD,2023-03-30,,ARI,W 8-2,40,34,8,12,9,2,0,1,8,0,0,5,12,.353,.425,.500,.925,17,0,0,0,1,0
17,BOS,2023-03-30,,BAL,L 9-10,41,35,9,11,8,2,1,0,8,0,0,3,9,.314,.390,.429,.819,15,2,2,0,1,0
18,NYY,2023-03-30,,SFG,W 5-0,34,32,5,8,6,0,0,2,5,2,0,2,16,.250,.294,.438,.732,14,0,0,0,0,0
19,COL,2023-03-30,@,SDP,W 7-2,45,44,7,17,10,4,0,3,7,1,0,1,17,.386,.400,.682,1.082,30,0,0,0,0,0
20,SDP,2023-03-30,,COL,L 2-7,36,32,2,7,4,3,0,0,2,0,0,1,10,.219,.235,.313,.548,10,2,0,0,1,0
21,SFG,2023-03-30,@,NYY,L 0-5,33,30,0,4,4,0,0,0,0,1,0,3,16,.133,.212,.133,.345,4,1,0,0,0,0
22,MIA,2023-03-30,,NYM,L 3-5,32,30,3,5,1,3,0,1,3,0,0,2,12,.167,.219,.367,.585,11,2,0,0,0,0
23,NYM,2023-03-30,@,MIA,W 5-3,40,32,5,8,7,1,0,0,5,1,0,5,5,.250,.350,.281,.631,9,0,1,0,2,0
24,CIN,2023-03-30,,PIT,L 4-5,39,33,4,7,4,1,1,1,3,0,1,6,15,.212,.333,.394,.727,13,1,0,0,0,0
25,KCR,2023-03-30,,MIN,L 0-2,33,27,0,2,1,1,0,0,0,0,0,5,11,.074,.242,.111,.354,3,2,1,0,0,0
26,ATL,2023-03-30,@,WSN,W 7-2,46,40,7,12,10,2,0,0,5,2,0,6,7,.300,.391,.350,.741,14,1,0,0,0,0
27,CLE,2023-03-30,@,SEA,L 0-3,31,31,0,4,3,1,0,0,0,0,0,0,9,.129,.129,.161,.290,5,0,0,0,0,0
28,MIL,2023-03-30,@,CHC,L 0-4,34,29,0,4,4,0,0,0,0,0,0,5,12,.138,.265,.138,.403,4,2,0,0,0,0
29,BAL,2023-03-30,@,BOS,W 10-9,49,38,10,15,9,4,0,2,9,5,0,9,8,.395,.521,.658,1.179,25,1,1,1,0,0
30,OAK,2023-03-30,,LAA,W 2-1,33,29,2,6,4,2,0,0,2,1,0,4,12,.207,.303,.276,.579,8,1,0,0,0,1
31,NYM,2023-03-31,@,MIA,L 1-2,33,29,1,4,2,1,0,1,1,1,1,4,8,.138,.242,.276,.518,8,1,0,0,0,0
32,SEA,2023-03-31,,CLE,L 4-9,38,34,4,7,3,4,0,0,4,1,0,3,13,.206,.289,.324,.613,11,0,1,0,0,0
33,COL,2023-03-31,@,SDP,W 4-1,39,35,4,9,8,0,0,1,4,1,0,3,8,.257,.333,.343,.676,12,1,1,0,0,0
34,LAD,2023-03-31,,ARI,L 1-2,40,31,1,5,3,1,0,1,1,0,1,9,9,.161,.350,.290,.640,9,0,0,0,0,0
35,CLE,2023-03-31,@,SEA,W 9-4,48,39,9,13,11,2,0,0,7,3,0,8,4,.333,.438,.385,.822,15,0,0,0,1,0
36,CHW,2023-03-31,@,HOU,L 3-6,39,37,3,11,7,4,0,0,3,2,0,1,11,.297,.333,.405,.739,15,1,1,0,0,0
37,HOU,2023-03-31,,CHW,W 6-3,36,28,6,7,5,1,0,1,6,2,1,7,8,.250,.417,.393,.810,11,2,1,0,0,0
38,ARI,2023-03-31,@,LAD,W 2-1,35,34,2,7,4,2,0,1,2,0,0,1,5,.206,.229,.353,.582,12,0,0,0,0,0
39,SDP,2023-03-31,,COL,L 1-4,33,29,1,5,3,2,0,0,1,0,0,2,5,.172,.219,.241,.460,7,1,0,1,1,0
40,MIA,2023-03-31,,NYM,W 2-1,33,32,2,10,7,0,1,2,2,0,0,1,5,.313,.333,.563,.896,18,1,0,0,0,0
41,LAA,2023-04-01,@,OAK,W 13-1,44,36,13,11,8,2,0,1,13,0,0,6,7,.306,.386,.444,.831,16,1,0,0,2,0
42,MIL,2023-04-01,@,CHC,W 3-1,36,32,3,6,5,1,0,0,3,1,0,4,13,.188,.278,.219,.497,7,1,0,0,0,0
43,COL,2023-04-01,@,SDP,L 4-8,35,31,4,6,1,4,0,1,4,0,0,3,6,.194,.286,.419,.705,13,1,1,0,0,0
44,TOR,2023-04-01,@,STL,L 1-4,40,29,1,3,3,0,0,0,0,0,0,10,8,.103,.350,.103,.453,3,1,1,0,0,0
45,ATL,2023-04-01,@,WSN,W 7-1,37,35,7,11,7,0,0,4,6,0,0,2,8,.314,.351,.657,1.008,23,3,0,0,0,0
46,HOU,2023-04-01,,CHW,W 6-4,41,36,6,11,10,1,0,0,6,1,0,3,8,.306,.390,.333,.724,12,0,2,0,0,0
47,SEA,2023-04-01,,CLE,L 0-2,31,29,0,3,2,1,0,0,0,1,1,2,6,.103,.161,.138,.299,4,1,0,0,0,0
48,MIA,2023-04-01,,NYM,L 2-6,39,36,2,10,7,2,0,1,2,0,0,3,12,.278,.333,.417,.750,15,1,0,0,0,0
49,SDP,2023-04-01,,COL,W 8-4,41,32,8,10,6,3,0,1,8,0,0,8,4,.313,.439,.500,.939,16,0,0,0,1,0
50,OAK,2023-04-01,,LAA,L 1-13,34,30,1,5,4,0,0,1,1,0,0,3,5,.167,.242,.267,.509,8,3,0,0,0,0
51,TEX,2023-04-01,,PHI,W 16-3,50,40,16,17,12,2,0,3,15,0,0,6,12,.425,.480,.700,1.180,28,0,1,0,3,0
